Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
2.249333,2.355333,2.227333,2.355333,2.355333,33339000,2010,11,30,1,2.3328889999999998,2.2800954285714283,0.1280000000000001,0.06666600000000011,79.33115076574899,0.22598484839617905,-276844500.0
2.391333,2.428,2.23,2.29,2.29,19488000,2010,12,1,2,2.3113333333333332,2.312095428571429,0.19799999999999995,-0.06533299999999986,67.21880664472738,0.21977810760515548,-296332500.0
2.267333,2.286667,2.08,2.156667,2.156667,30105000,2010,12,2,3,2.267333333333333,2.302095428571428,0.20666699999999993,-0.13333299999999992,64.20572077220933,0.20177443196996414,-326437500.0
2.134,2.15,2.058,2.099333,2.099333,17401500,2010,12,3,4,2.182,2.2727619999999997,0.09200000000000008,-0.057333999999999996,55.797614755878264,0.18079591194843303,-343839000.0
2.09,2.096667,1.970667,2.020667,2.020667,19116000,2010,12,6,0,2.0922223333333334,2.223619142857143,0.1260000000000001,-0.07866600000000012,48.30453052530177,0.15602404683813442,-362955000.0
2.032667,2.16,2.003333,2.104,2.104,19669500,2010,12,7,1,2.074666666666667,2.1878095714285712,0.1566670000000001,0.0833330000000001,56.48593889627852,0.14148548532051475,-343285500.0
2.165333,2.166,2.101333,2.158,2.158,9900000,2010,12,8,2,2.094222333333333,2.169142857142857,0.06466700000000003,0.053999999999999826,59.47369667591668,0.1327901965494962,-333385500.0
2.167333,2.181333,2.11,2.136667,2.136667,6090000,2010,12,9,3,2.132889,2.137904857142857,0.07133300000000009,-0.021332999999999824,57.142871315220866,0.12276259199613948,-339475500.0
2.136667,2.194667,2.075333,2.101333,2.101333,6441000,2010,12,10,4,2.132,2.1109524285714287,0.11933399999999983,-0.0353340000000002,51.82129053741292,0.1106885360982548,-345916500.0
2.109333,2.118,2.026667,2.036667,2.036667,6156000,2010,12,13,0,2.091555666666667,2.0938095714285714,0.09133299999999966,-0.06466599999999989,39.130409909404825,0.09480885656460414,-352072500.0
2.019333,2.026,1.850667,1.902,1.902,26485500,2010,12,14,1,2.013333333333333,2.065619142857143,0.17533299999999974,-0.1346670000000001,28.36670552776778,0.07054440272411311,-378558000.0
1.911333,1.998,1.902,1.973333,1.973333,11143500,2010,12,15,2,1.9706666666666666,2.058857142857143,0.09600000000000009,0.07133300000000009,29.22851216244622,0.056420247689835,-367414500.0
2.0,2.060667,1.976667,2.054,2.054,11851500,2010,12,16,3,1.9764443333333332,2.0517142857142856,0.08400000000000007,0.08066699999999982,35.1546661531701,0.05114632283175613,-355563000.0
2.089333,2.102667,2.047333,2.090667,2.090667,12195000,2010,12,17,4,2.039333333333333,2.042095285714286,0.05533399999999977,0.036667000000000005,39.93218973856236,0.049356469192728625,-343368000.0
2.109333,2.146,2.084,2.113333,2.113333,7851000,2010,12,20,0,2.086,2.038761857142857,0.06199999999999983,0.022666000000000075,37.118505491136254,0.04919980928531098,-335517000.0
2.12,2.179333,2.114,2.150667,2.150667,11665500,2010,12,21,1,2.118222333333333,2.0458095714285713,0.06533300000000031,0.03733399999999998,42.35553853531035,0.05149459928052158,-323851500.0
2.15,2.190667,2.113333,2.175333,2.175333,12499500,2010,12,22,2,2.146444333333333,2.065619,0.07733400000000001,0.0246660000000003,51.16275013517453,0.05467333674935615,-311352000.0
